,Random Walk_RMSE,Random Walk_MASE,Mean Estimator_RMSE,Mean Estimator_MASE,Moving Avg Estimator: (h=5)_RMSE,Moving Avg Estimator: (h=5)_MASE,RMSE avg,RMSE std,MASE avg,MASE std
window_1_0,661.2636581413745,1.7279682006564114,383.8615366215487,1.000191249768744,208.0208212866233,0.3123151052743027,417.71533868318215,228.51001559134528,1.0134915185664861,0.7079202599719869
window_1_1,679.4704863018311,1.742633082290343,396.93953315372323,0.9999962602350811,251.95150560515788,0.3325161961517434,442.7871750202374,217.4157869440964,1.0250485128923892,0.7053921743723198
window_1_2,775.8063633346869,1.8283031028619177,428.01791611068046,0.9998165100484071,286.06592311587724,0.40061422706332933,496.6300675204149,251.9764774482583,1.0762446133245513,0.7169064253775042
window_1_3,857.2503365981325,1.7132666732499917,474.16054262718376,0.9995586425951154,298.2292882154381,0.3616943641061829,543.2133891469182,285.83623780598606,1.0248398933170966,0.6761407271712248
window_1_4,757.8496414398421,2.009543750859558,414.8656058320707,1.0000348709217135,327.7603763784294,0.5266358192318671,500.15854121678075,227.3771263785603,1.1787381470043794,0.7574332505792752
window_1_5,709.3711356907573,1.8133100829396076,398.3138476981297,1.0000787686683776,220.96005494876914,0.32057112958559175,442.88167944588537,247.23685944436244,1.0446533270645257,0.7473670879542859
window_1_6,699.3533585652858,1.875071746830848,390.7379472473846,1.0004086522087705,244.25989102435716,0.3536561999125401,444.7837322790092,232.31062440054265,1.0763788663173863,0.7635475896595871
window_1_7,799.0904378763204,1.6924102778781223,457.8478140075983,1.0002217960797408,270.20425033199695,0.321880268470451,509.0475007386385,268.1346784450117,1.0048374474761046,0.6852766629983159
window_1_8,778.2776704271331,1.9518221321426137,424.90189333541696,0.9997598141789483,290.74472392526127,0.4423299056065915,497.97476256260376,251.84683171328444,1.1313039506427178,0.7632952183602807
window_1_9,794.5455312990898,1.7914133729454627,441.9513718895981,1.000500311908176,305.3307364643108,0.4036661519853043,513.9425465509995,252.42786255315605,1.0651932789463143,0.6961317923416578
window_1_10,762.2520238083073,1.904123655914381,427.71886042430964,1.0004513533328185,311.4586478851693,0.44918645337985047,500.4765107059288,234.03829537048352,1.11792048754235,0.7345473531016936
window_1_11,636.7385708669939,1.9527880708403063,351.9622448373429,0.9999779127795341,189.67854656119556,0.3148565610422548,392.7931207551774,226.3096035395724,1.089207514887365,0.8226033972192021
window_1_12,542.7071111059346,1.9084602329699931,295.6839376912485,0.9998496938303169,174.75892448961062,0.2890398771145593,337.71665776226456,187.54074004329456,1.065783267971623,0.8117210108091452
window_1_13,735.907051898958,1.628335511476289,439.41590059348687,0.9998998663340245,229.79662163660777,0.2775952507670389,468.3731913763509,254.29478056420626,0.9686102095257841,0.6759135262314302
window_1_14,889.5400434631102,1.7707764693221504,484.66203044171834,1.0001681675041927,336.923877940634,0.4093029760037081,570.3753172818208,286.105281766855,1.060082537610017,0.6827113717092047
window_10_0,617.7909413945499,1.6851749681718546,365.5871172126156,1.0001906517380053,168.48497090120557,0.2780365536107383,383.954343169457,225.2154080480591,0.9878007245068661,0.7036510229907917
window_10_1,614.6008985624348,1.6794572006157427,370.64045020019773,0.9999951711466364,203.1602319685312,0.29611794196708424,396.1338602437213,206.90164571250847,0.9918567712431544,0.6917055379960441
window_10_2,684.4383782780297,1.7411031277748006,394.35042107296783,0.9998452851281342,227.25033803173406,0.35310857726858236,435.3463791275772,231.33466551443084,1.0313523300571725,0.6945334682136348
window_10_3,785.6545381363734,1.6770721319485686,440.57288750400676,0.999523596994068,235.6802951998118,0.31555432320483223,487.3025736133973,277.9490324615696,0.9973833507158231,0.6807614276471494
window_10_4,650.6259444398655,1.9313961997139122,367.32785134302554,1.0000716514763912,258.1324768975375,0.4725412781419256,425.36209089347625,202.5802562837737,1.1346697097774097,0.7386825424514275
window_10_5,664.7474804000897,1.7868188932589266,378.5899229736321,1.0000750422130396,179.88387969014954,0.28800247580719246,407.74042768795715,243.7426753097967,1.0249654704263862,0.7497181559547532
window_10_6,636.0910591127648,1.8147581450380459,363.82152627167164,1.0004613058057792,194.79349730837671,0.31366783235535184,398.2353608976044,222.65246130207098,1.0429624277330591,0.7514471310287006
window_10_7,716.5825112811519,1.6296371565217342,426.27648358537255,1.0001913600393277,207.30078587134273,0.2757349623938139,450.0532602459557,255.4720538344136,0.9685211596516253,0.6775064863235977
window_10_8,689.1057901654497,1.8902310428140672,386.58655115277753,0.9997727559742025,225.5656649350454,0.3851116615173159,433.7526687510908,235.3419722693514,1.0917051534351951,0.7567593820138429
window_10_9,710.4431930400835,1.7390680441158537,403.03136261321094,1.0005299966174064,239.30620723761848,0.35182181823733644,450.92692096363766,239.19239793528638,1.0304732863235322,0.6941076813091512
window_10_10,678.5362505797691,1.8640520866991799,386.4888458575948,1.0004937771879876,246.07396013583337,0.4005199744425893,437.0330188577325,220.6171870734568,1.0883552794432523,0.7357114200455729
window_10_11,601.7226214396511,1.9271728831306538,334.8699273821545,1.0000040215830015,152.8364601537925,0.28136907735206546,363.14300299186607,225.7747141550905,1.0695153273552402,0.8251008471704793
window_10_12,496.18317697867434,1.8370099974156673,276.9153771027011,0.9998465329882253,138.04326431849663,0.2583458258879237,303.713939466624,180.56763682520668,1.0317341187639386,0.7898150132855775
window_10_13,688.644205073864,1.5841531791507157,419.21677063970145,0.9999018156716979,184.36950932885114,0.24332700165224758,430.7434950141389,252.33487912550757,0.9424606654915538,0.6722561445362935
window_10_14,761.1201498929875,1.6720926909317693,435.51715823576234,1.0001595982980067,254.51759788816355,0.3499110488178186,483.7183020056377,256.71783950476294,1.0073877793491983,0.6611204569794883
window_30_0,580.6302710980067,1.653341987794728,347.9122528794759,1.0001616346721218,114.92848628333142,0.22048746759179016,347.82367008693797,232.85090504457327,0.9579970300195466,0.7173572397561961
window_30_1,573.2021708486537,1.6709400977031277,343.01111357674506,0.9999805809411326,130.82228137773765,0.22600690902769907,349.0118552677122,221.25098491917785,0.9656425292239866,0.7230783541779774
window_30_2,621.0109406962451,1.7047793781550358,362.08704709717284,0.9998780815323415,149.08470133640773,0.26828411073781294,377.39422970994195,236.33519887806625,0.9909805234750634,0.7182889656903805
window_30_3,723.7198400604614,1.6480469773522328,409.52588092671266,0.9995113799716108,154.6046190258009,0.23905333431308218,429.2834466709917,285.0715783034802,0.9622038972123086,0.705237305971232
window_30_4,563.8848655694061,1.8973633158118839,319.875403366907,1.00012929260884,162.60450769831775,0.3590806269352799,348.78825887821023,202.1965536641273,1.0855244117853347,0.7726885870185572
window_30_5,618.0637490018095,1.7468566560058787,359.4505020453139,1.0000595227537958,125.68142865381418,0.2345333282364348,367.73189323364585,246.29560172246195,0.9938165023320363,0.7561809924924727
window_30_6,595.7393756627374,1.8097656301008518,338.3670725682523,1.000562609763642,129.3796300951546,0.24958191305469019,354.4953594420481,233.5978259735688,1.0199700509730614,0.7802728973344628
window_30_7,674.4347242811767,1.6148140580979005,401.1777478887534,1.0002137465156047,136.07238490129401,0.20864518525184264,403.89495235707477,269.1914551313563,0.9412243299551158,0.704937967618356
window_30_8,634.6207470016774,1.8873439847775693,354.7218866123055,0.999817364925446,152.19338133372221,0.2973513174031377,380.5120049825684,242.24551273551975,1.0615042223687177,0.7967892581241509
window_30_9,626.9808841529482,1.6724027858223334,365.03616154864824,1.000580421835627,148.79296640315187,0.2561271941466981,380.2700040349161,239.45766564915772,0.9763701339348861,0.7084481219004114
window_30_10,602.6215932093353,1.8187463027476631,347.06099619394126,1.000542841064676,159.38714079450884,0.30975271526760967,369.6899100659285,222.4820122147791,1.0430139530266496,0.7553927841046969
window_30_11,566.4142765660624,1.8922860628441942,319.5438256561738,1.0000276956856735,108.66472483370865,0.2335906267520242,331.54094235198164,229.11047801126935,1.0419681284272972,0.8301426909587076
window_30_12,473.8947481586294,1.824587748884906,261.2881654483438,0.9998400133173256,96.9211754074893,0.21429849615678578,277.3680296714875,189.0005030767533,1.0129087527863392,0.8052241696114217
window_30_13,659.1851293888932,1.5772203746217837,401.0248386625813,0.9999161696894765,129.61365930676504,0.19191579025331584,396.6078757860799,264.81336380935517,0.9230174448548588,0.6958464329713604
window_30_14,690.3727844774363,1.65140395302055,396.5525066413443,1.0001147924364573,161.6997605121616,0.25702669193126276,416.2083505436474,264.88404201986344,0.9695151457960901,0.6976920813235608
window_45_0,568.1269577380591,1.6506632211504957,340.1352354859437,1.0001529496633654,89.44474269661882,0.18789532684327567,332.56897864020726,239.43078735040876,0.9462371658857123,0.7328728825377997
window_45_1,552.6499877916419,1.6530574830634246,332.60377981493866,0.9999738648559501,99.50495895410509,0.19172216791983415,328.2529088535619,226.60384341099544,0.9482511719464028,0.7320393797759897
window_45_2,593.6260415668041,1.6833935421435446,349.30407744489395,0.9998931656448674,114.28352643410398,0.2232401235574735,352.404548481934,239.68629788522406,0.9688422771152952,0.730571775879006
window_45_3,699.8878638690425,1.6322503009572615,397.37357161230483,0.9994799560678775,119.24728326746926,0.19935648748998955,405.50290624960553,290.4056396173582,0.9436955815050428,0.7180738767718962
window_45_4,532.180566922142,1.8712303515374722,302.23698053529495,1.0001125256360932,120.83544215712287,0.29117364022022857,318.4176632048533,206.1493725086909,1.0541721724645978,0.7914143268895775
window_45_5,601.6714136057467,1.7387003464524995,350.4062940160002,1.0000509237605304,99.92312762522883,0.2023429132504643,350.6669450823252,250.87424454361724,0.9803647278211648,0.7683678808823993
window_45_6,580.3726303380964,1.8103615928931367,328.0053141460896,1.0005657869117182,99.48671750728353,0.21269507182387554,335.95488733048984,240.5414976155708,1.00787415054291,0.7988583336678745
window_45_7,656.9132495141233,1.6076610690045727,391.6814100040618,1.0002112068952616,105.50535294626471,0.17579953929703698,384.70000415481667,275.77023428947416,0.9278906050656236,0.718665125180603
window_45_8,609.8221625758354,1.8811574471557793,341.3108077241952,0.9998525260111643,119.83255992079293,0.25103072067327936,356.9885100736078,245.37073061131227,1.0440135646134077,0.81596013021223
window_45_9,612.0589312111399,1.6789785822969856,352.45107063777425,1.0006016541521163,113.71386281672022,0.211365016169737,359.4079548885448,249.24536199720683,0.9636484175396128,0.7345042893967944
window_45_10,572.311743205956,1.8033404752706754,331.69842265436455,1.0006256111341343,119.97819962226909,0.2582175783283618,341.32945516086323,226.3205166419954,1.0207278882443904,0.7727575737724057
window_45_11,555.5845034823475,1.892820773659637,312.1060732408609,1.0000268868031894,87.41079317555113,0.2066726256660885,318.36712329958647,234.14964513423124,1.0331734287096384,0.8435626320409085
window_45_12,460.59620771181704,1.8088168058239407,254.05543687367285,0.9998277696358011,78.43104695267104,0.19095717692590644,264.360897179387,191.29088950757813,0.9998672507952161,0.8089298151716209
window_45_13,645.9088968956257,1.5773752427350192,392.6139296810148,0.9999201278145655,104.5667070928982,0.16539955163043196,381.0298445565129,270.85694542734524,0.9142316407266722,0.7098772609980744
window_45_14,666.8836553549785,1.6393281985296926,382.71636407349206,1.0001041361358844,122.5289367198825,0.2104585870474371,390.70965204945105,272.2653749828898,0.9499636405710047,0.7157532002205661
