,LGBMRegressor_RMSE_0,LGBMRegressor_RMSE_1,LGBMRegressor_RMSE_2,LGBMRegressor_RMSE_3,LGBMRegressor_RMSE_4,LGBMRegressor_RMSE_5,LGBMRegressor_RMSE_6,LGBMRegressor_RMSE_7,LGBMRegressor_RMSE_8,LGBMRegressor_RMSE_9
window_1_0,187.14846535248236,151.4172941901339,153.7135397973567,177.4822140235888,150.84456404926652,118.96475774015192,172.79543886336143,138.05577477654614,153.03764060533027,154.45160294002235
window_1_1,231.41564904464258,141.40989278330073,91.4281782207226,133.9434113943106,223.19814870472712,247.0792578351249,200.16159826697543,222.36784381666217,231.8103202698977,137.01498702982045
window_1_2,279.2767337932286,253.00652723971635,182.6184501067871,180.25266050207995,207.6511181504919,201.77259542721328,247.38646197265462,119.23001356606346,182.50496180331126,163.93430047733747
window_1_3,319.1673025713004,259.029066887039,242.19177895255868,192.48005377054383,205.4800511273043,194.62623625913588,206.78032238281162,165.7764301389865,178.3972859514323,248.93991725433247
window_1_4,330.47961484778773,323.61883049638266,267.5313649285938,309.9183763717485,200.00574357563363,167.39714361790342,175.72113881454445,212.96623052189634,204.17589084496157,203.39745531880538
window_1_5,188.3236630315868,187.28223098715674,122.84278063495275,174.46284489401728,122.4017595526591,198.46413388584742,120.85821302379935,125.33695119410567,176.5925062881478,141.4189375641647
window_1_6,274.4431930459814,119.9843572260856,184.37473051866328,186.66998984252442,130.76750364065637,16.682500385913816,224.2272788987538,162.80146399774864,148.81906597358832,273.4724463129454
window_1_7,252.97689871326492,247.56661228576252,223.53292716492516,201.61597048521585,232.7316228721749,137.53267097463106,89.46372286551144,172.37412293085748,199.34106667992097,236.97990542952326
window_1_8,218.16172632041722,281.86267054241694,272.33512743371415,166.328771022046,192.1066887255713,109.98855981810784,156.67995508583826,217.8750262067924,212.0000161190941,242.2153129198987
window_1_9,291.367196109349,244.33876724920876,236.6166420764838,176.01843485438962,256.8426778188906,162.86068579125876,211.50814916723974,198.67883305461368,173.14352723228842,199.7405173216586
window_1_10,257.8068719063147,194.06323147336323,231.32796676913424,213.35335988800296,226.08332702079304,264.3300037825529,172.68959211509696,275.5259727223699,274.696735428232,174.73684247285377
window_1_11,169.47336099222406,102.46386846249192,129.9380153818386,113.55031543661597,75.85276252918618,69.02436472300005,187.3000977373656,191.7525269990153,180.40545075053865,103.41862917872493
window_1_12,189.32708318971873,158.6682259519822,52.814839977979425,31.461254709720496,94.62800139882752,146.93713373118632,122.55064397163042,44.68896291416282,156.81901923950258,257.62644252582015
window_1_13,151.18855495436094,179.60361314039466,213.25606390416195,152.7024395865898,244.38100900646853,190.2079353215627,168.6891379136623,202.21059851693886,191.87175101917614,188.77198376117747
window_1_14,360.4442959805896,300.8422508050287,344.69474203278054,256.6187447097896,266.23668795544035,167.28765089835588,289.6203925371921,208.5873486858808,195.34755915025147,216.29810953514635
window_10_0,84.06083356891469,69.21930365988658,61.80690352541198,68.21641110560155,53.360653624330155,46.26245949056386,59.193068150950495,49.434641614989715,59.97488005951503,55.809924196283106
window_10_1,101.70239852120281,58.97816416098657,37.11489980247505,51.357517555856475,82.98875286633546,99.87463630915228,77.99300486411532,81.0262263595357,83.41168304179789,61.90301954350997
window_10_2,109.13801304424973,104.44328499027878,85.34752128771012,71.49403225433956,77.87110245506045,80.31285337269419,87.06620571942847,40.665488474510255,70.34961044803863,61.315260545409245
window_10_3,125.43451461087858,103.39431031939837,84.65963321029538,70.7929532799521,75.4276852252874,65.6804492964082,83.31557375377625,59.98565614529527,73.34755424984044,87.02168652141599
window_10_4,150.1598512766759,127.21732972962182,104.33294665665048,109.45096443545935,75.51584477207668,64.39970696603335,69.16785171257781,80.03094799070001,81.3123996249505,75.33953179867721
window_10_5,88.47728120458679,72.29112930199533,38.214938627844816,69.51994088215943,44.7334499333418,64.6964048933125,51.09723634991807,42.183390002447524,64.08279704335713,55.12775644742667
window_10_6,175.10541953990355,49.68292564992972,87.15263915963865,66.22742278221811,49.60335217464634,9.716287172171343,86.34361683654843,61.390138040865494,59.264288100212944,97.41629158334312
window_10_7,118.23139316457876,105.09514487756341,79.83895612747361,78.82707066427905,78.17100772777961,50.08040959257298,32.041268826612246,61.653078439104874,68.82641250865048,88.11422668849148
window_10_8,93.0982753900356,106.59198289868395,100.40652212639824,63.964687764010876,64.90368915742641,42.57336362065203,65.15508941855238,82.19432463866634,78.7013133168319,90.12140675824077
window_10_9,128.84382417725314,105.40937155631055,95.32981453849621,63.608145458974406,102.28725306734412,63.75240435973957,76.50052025473501,77.32749934096958,67.25511621869485,75.12184747711338
window_10_10,121.38514130422989,88.77574558967542,86.6279949194776,80.53941628728838,75.19385240968272,92.83993581819612,66.27710052525839,102.01376768687679,91.33568376996608,63.00457387454431
window_10_11,67.8488603731695,41.22889550499173,51.137760048770126,44.308312692695424,28.86922495333214,25.451365738655536,69.16480187663603,64.60887288157689,62.03480647306475,36.974908514567254
window_10_12,78.11979258496834,56.97194981371919,9.40897427836637,10.466997868146247,37.758807960270744,52.97033206603501,48.974114196988474,21.79810071430312,56.153880717522654,92.5480697839388
window_10_13,73.86222160614938,100.70961301356765,80.39794592522132,64.1705528604813,109.90384604723953,74.25038837967247,64.09637844659562,84.34604935430637,85.32014998510179,51.1025977982395
window_10_14,198.7960221226706,111.10262478197885,121.14439096732421,107.86559963876486,91.76382623826716,69.17744717864197,99.1967359072632,72.95374478289179,70.28072756415054,76.72767170435742
window_30_0,36.91239328568755,54.34814627817235,27.22406242732793,30.84079244285756,24.760609100917772,18.059471547027552,24.134028860376077,25.162198474360256,27.076327129051766,24.952579932258487
window_30_1,64.84694226414761,27.207160346669905,17.520729390800682,23.731424631904215,40.36226374507098,44.70664560542388,34.07790876734805,33.543756217080386,37.4006720804018,45.249078540255674
window_30_2,48.63592387858791,50.53056365978374,44.25157909594533,29.91314802536504,32.275916665250065,37.111085108589876,38.50596092217889,20.78393900264249,29.921972051022337,25.947251374405525
window_30_3,52.83465985301237,55.43556594353144,36.03535138085106,31.02426151874096,31.024569091587622,27.70417996098784,36.883930989002174,27.79529666651755,31.83344513616764,37.80702792844828
window_30_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_30_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window_45_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
